id,NID,full_name,gender,degree,speciality,subject,address,city,test_state
1,9961042752,Rebbecca,Mail,"Brandt, Jonathan F Esq",Stevie,Stevie,171 E 24th St,Leith,TAS
2,9961042753,Stevie,Mail,Landrum Temporary Services,Stevie,Stevie,22222 Acoma St,Proston,QLD
3,9961042754,Mariko,Mail,"Inabinet, Macre Esq",Stevie,Stevie,534 Schoenborn St #51,Hamel,WA
4,9961042755,Gerardo,Mail,Morris Downing & Sherred,Stevie,Stevie,69206 Jackson Ave,Talmalmo,NSW
5,9961042756,Mayra,Mail,"Buelt, David L Esq",Stevie,Stevie,808 Glen Cove Ave,Lane Cove,NSW
6,9961042757,Idella,Mail,Artesian Ice & Cold Storage Co,Stevie,Stevie,373 Lafayette St,Cartmeticup,WA
7,9961042758,Sherill,Mail,Midway Hotel,Stevie,Stevie,87 Sylvan Ave,Nyamup,WA
8,9961042759,Ena,Mail,"Selsor, Robert J Esq",Stevie,Stevie,60562 Ky Rt 321,Bendick Murrell,NSW
9,9961042760,Vince,Mail,Vincent J Petti & Co,Stevie,Stevie,70 S 18th Pl,Purrawunda,QLD
10,9961042761,Theron,Mail,"Prentiss, Paul F Esq",Mayra,Mayra,8839 Ventura Blvd,Blanchetown,SA
11,9961042762,Amira,Mail,Public Works Department,Mayra,Mayra,3684 N Wacker Dr,Rockside,QLD
12,9961042763,Marica,Mail,Prudential Lighting Corp,Mayra,Mayra,68828 S 32nd St #6,Rosegarland,TAS
13,9961042764,Shawna,Mail,"Wood, J Scott Esq",Mayra,Mayra,43157 Cypress St,Ringwood,QLD
14,9961042765,Paulina,Mail,Swanson Peterson Fnrl Home Inc,Mayra,Mayra,6 S Hanover Ave,Maylands,WA
15,9961042766,Rose,Mail,Old Cider Mill Grove,Mayra,Mayra,27916 Tarrytown Rd,Wooloowin,QLD
16,9902026061,Reita,Femail,Cooper Myers Y Co,Mayra,Mayra,79620 Timber Dr,Arthurville,NSW
17,9902027690,Maybelle,Femail,Angelo International,Mayra,Mayra,387 Airway Cir #62,Mapleton,QLD
18,9912024573,Camellia,Femail,"Blackley, William J Pa",Mayra,Mayra,570 W Pine St,Tuggerawong,NSW
19,9902026062,Roy,Femail,Phoenix Phototype,Mayra,Mayra,823 Fishers Ln,Red Hill,ACT
20,9902027691,Albert,Femail,Quartzite Processing Inc,Mayra,Mayra,4 Brookcrest Dr #7786,Inverlaw,QLD
21,9912024574,Hayley,Femail,Biltmore Textile Co Inc,Mayra,Mayra,72 Wyoming Ave,Eugowra,NSW
22,9902026063,Norah,Femail,Gateway Refrigeration,Mayra,Mayra,754 Sammis Ave,Kotara Fair,NSW
23,9902027692,Rosina,Femail,Anchorage Yamaha,Mayra,Mayra,660 N Green St,Burpengary,QLD
24,9912024575,Royal,Femail,Wynns Precision Inc Az Div,Mayra,Mayra,970 Waterloo Rd,Ellis Beach,QLD
25,9902026064,Barrie,Femail,Paragon Cable Tv,Mayra,Mayra,4129 Abbott Dr,Fish Creek,VIC
26,9902027693,Linsey,Femail,Eagle Computer Services Inc,Mayra,Mayra,1529 Prince Rodgers Ave,Kennedy,QLD
27,9912024576,Laura,Femail,Kansas Association Ins Agtts,Mayra,Mayra,2 N Valley Mills Dr,Cape Portland,TAS
28,9902026065,Fanny,Femail,"Di Giacomo, Richard F Esq",Mayra,Mayra,50968 Kurtz St #45,Warra,QLD
29,9902027694,Kristian,Femail,"Butler, Frank B Esq",Camellia,Camellia,71585 S Ayon Ave #9,Wanguri,NT
30,9912024577,Gwen,Femail,Alphagraphics Printshops,Camellia,Camellia,8 Old County Rd #3,Alvie,VIC
31,9902026066,Ben,Femail,Voyager Travel Service,Camellia,Camellia,13904 S 35th St,Wherrol Flat,NSW
